Company name,Main contact name,Main contact email,Main contact phone,Division,MOA workflow (from MOA setup),COSEC client?,Has Limit of Authority (LOA)?,LOA holder names (if Y),Invoice to,Bill to,Division MOI managers (auto),Notes
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A362,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E362="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E362,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E362,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E362,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E362,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E362,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E362,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E362,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A363,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E363="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E363,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E363,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E363,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E363,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E363,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E363,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E363,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A364,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E364="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E364,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E364,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E364,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E364,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E364,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E364,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E364,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A365,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E365="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E365,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E365,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E365,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E365,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E365,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E365,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E365,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A366,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E366="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E366,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E366,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E366,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E366,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E366,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E366,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E366,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A367,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E367="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E367,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E367,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E367,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E367,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E367,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E367,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E367,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A368,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E368="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E368,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E368,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E368,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E368,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E368,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E368,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E368,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A369,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E369="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E369,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E369,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E369,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E369,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E369,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E369,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E369,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A370,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E370="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E370,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E370,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E370,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E370,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E370,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E370,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E370,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A371,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E371="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E371,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E371,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E371,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E371,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E371,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E371,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E371,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A372,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E372="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E372,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E372,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E372,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E372,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E372,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E372,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E372,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A373,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E373="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E373,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E373,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E373,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E373,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E373,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E373,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E373,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A374,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E374="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E374,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E374,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E374,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E374,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E374,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E374,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E374,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A375,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E375="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E375,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E375,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E375,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E375,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E375,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E375,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E375,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A376,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E376="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E376,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E376,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E376,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E376,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E376,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E376,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E376,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A377,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E377="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E377,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E377,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E377,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E377,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E377,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E377,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E377,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A378,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E378="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E378,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E378,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E378,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E378,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E378,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E378,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E378,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A379,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E379="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E379,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E379,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E379,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E379,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E379,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E379,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E379,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A380,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E380="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E380,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E380,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E380,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E380,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E380,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E380,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E380,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A381,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E381="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E381,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E381,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E381,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E381,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E381,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E381,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E381,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A382,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E382="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E382,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E382,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E382,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E382,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E382,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E382,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E382,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A383,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E383="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E383,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E383,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E383,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E383,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E383,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E383,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E383,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A384,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E384="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E384,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E384,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E384,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E384,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E384,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E384,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E384,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A385,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E385="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E385,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E385,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E385,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E385,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E385,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E385,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E385,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A386,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E386="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E386,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E386,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E386,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E386,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E386,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E386,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E386,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A387,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E387="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E387,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E387,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E387,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E387,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E387,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E387,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E387,Divisions!$A$3:$A$50,0)),""""),"""")))",
